2021 год
Care Mentor AI;Care Mentor AI — разработчик и интегратор нейросетевых сервисов для анализа результатов лучевых исследований. Продукты компьютерного зрения Care Mentor AI с высокой точностью и скоростью помогают врачам-рентгенологам определять наличие у пациентов признаков злокачественных новообразований, туберкулеза пневмонии и других социально-значимых патологий.;https://carementor.ru/
Tensor Fields;Tensor Fields — онлайн-серсис для растениеводческих хозяйств в открытом грунте. Сервис помогает определить параметры, наиболее сильно влияющие на урожайность свеклы, картофеля, моркови и спрогнозировать их урожайность с применением машинного обучения.;http://agro.sk.tilda.ws/
MotherFit;"MotherFit — приложение для занятий гимнастикой для беременных; тренировки, специально составленные при участии акушера и преподавателя йоги.";https://motherfitapp.ru/
Poleplan;Poleplan — сервис для торговли на рынке зерна, оператор зерновых сделок. Poleplan помогает всем участника рынка находить необходимые им объекты в короткие сроки без дополнительного поиска, ручного сравнения предложений и ежегодного мониторинга изменения цен.;https://poleplan.ru/

2020 год
Виртуальный пациент MPro;Виртуальный пациент MPro - интерактивный симулятор с элементами игрового обучения. Сценарии разрабатываются на базе клинических рекомендаций и стандартов и позволяют врачам практиковать разные сценарии взаимодействия с виртуальным пациентом.;http://mpromed.ru/
Onkonet;Onkonet - телемедицинская платформа для дистанционного мониторинга онкологических пациентов в процессе противоопухолевой терапии. Платформа позволяет предоставить пациентам различные виды амбулаторного противоопухолевого лечения и может функционировать как «госпиталь на дому» в рамках которого дистанционный мониторинг будет дополнен выездами медицинских служб для проведения необходимых исследований.;https://onconet.online/
SMW Patch;SMW Patch - мобильный VR симулятор, который помогает слабовидящим видеть лучше. Как это работает: доктор создает симуляцию зрения пациента на основе диагностики, после чего SMW Patch автоматически адаптирует ее, чтобы в лучшую сторону изменить дефектное изображение. Пациент надевает мобильный VR шлем и может видеть детали, которые раньше увидеть не мог.;http://sensor-tech.ru/
None;MedSense – система компьютерного зрения для распознавания содержания статических и динамических изображений.;None
ГеосАэро;ГеосАэро - цифровая картография для точного земледелия с применением беспилотной авиации. Платформа предоставляет оперативный мониторинг сельскохозяйственных земель и позволяет получить первые результаты уже через 72 часа. Инструменты глубокого анализа: всхожесть, неоднородность посевов, аналитика урожайности.;https://geosaero.ru/

2019 год
Enrollme;Enrollme — цифровое CRO для проведения клинических исследований.;https://enrollme.ru/
None;Med.Bot — дистанционная онлайн-платформа для мониторинга здоровья пациентов с хроническими заболеваниями. Платформа представляет собой систему напоминаний о времени приема лекарств, позволяет вести журнал измерений таких показателей, как артериальное давление, уровень глюкозы, а также сдачи лабораторных и инструментальных тестов и консультаций со специалистами.;None
«Биогеном»;«Биогеном» — первая в России многофункциональная медицинская платформа на базе искусственного интеллекта BioGenom 2.0. В BioGenom 2.0 входят онтологическая база знаний оценки рисков для здоровья и механизм рассуждений, позволяющий комплексно учитывать совместное влияние на здоровье человека разнородных факторов.;https://biogenom.ru/
«Все о зрении»;«Все о зрении» — онлайн-гид по заболеваниям глаз для широкого круга пациентов, позволяющий объединить на одной площадке всех участников офтальмологического рынка.;https://www.vseozrenii.ru/
«Мое здоровье»;«Мое здоровье» — онлайн-платформа, ориентированная на профилактику заболеваний – помогает следить за здоровьем в рамках услуг ОМС, предоставляя возможность онлайн-записи во все государственные поликлиники России (интеграция с Госуслугами и ЕГИСЗ). Пользователям доступны мобильное приложение (IOS, Android) и веб-платформа.;https://moezdorovie.org/
Ksivalue;Ksivalue — IT-система и генетическая база для геномной селекции крупного рогатого скота.;https://ksivalue.com/ru
None;«АйДулиттл» — онлайн-сервис для контроля состояния здоровья домашних животных, который позволяет вести персональную карту питомца, записаться в ветеринарные клиники и удаленно взаимодействовать с ветеринарными врачами.;None

2018 год
AgroMon;AgroMon — первый в России сервис для агроскаутинга.;http://agromon.ru/
Akeso;Akeso — RWE исследования на основе данных реальной клинической практики ведущих лечебных учреждений в России.;https://www.akesomed.ru/
None;MedBrother — система мониторинга артериального давления и ранней диагностики заболеваний сердечно-сосудистой системы.;None
MIKA;MIKA — информационная система на основе блокчейна и искусственного интеллекта, позволяющая оптимизировать процесс клинических исследований по онкологии.;http://www.mika.help/
None;Офтальмоскоп-хромоскоп — девайс для диагностики заболевания органов зрения на ранних стадиях.;None
Smart Arthritis;Smart Arthritis — приложение для смартфона для диагностики зон наибольшего воспаления коленных суставов.;https://www.smart-arthritis.com/
Veoly;Veoly — фитофильтр для очищения воздуха в жилых помещениях.;https://veoly.ru/
None;Walk&Bark — онлайн сервис по уходу за домашними животными.;None

2017 год
Semantic Hub;Semantic Hub — сервис по поддержке принятия решений в области R&D и маркетинга для медицинских проектов и фармацевтических компаний.;http://semantic-hub.com/
Botkin AI;Botkin AI — системы поддержки принятия врачебных решений с использованием технологий искусственного интеллекта.;https://botkin.ai/
BestDoctor;BestDoctor — платформа для корпоративного медицинского обслуживания.;https://bestdoctor.ru/
None;Аптеки+ — мобильное приложение с интеллектуальным поиском лекарств в аптеках Москвы.;None
None;MediSensum Server —система поддержки врача и контроля качества лечения.;None
None;GrowTech — платформа для автоматического выращивания растений.;None

2016 год
Qapsula;Qapsula — телемедицинский сервис для пациентов и медицинских специалистов.;https://www.qapsula.com/
None;Forgetmenot — сервис, предназначенный для мониторинга применения лекарственных средств.;None
None;TherMom — решение для беспроводного мониторинга основных показателей жизнедеятельности ребенка.;None

