Меры государственной поддержки в ИС ЦС АПК;Данные для настройки мер господдержки в ИС ЦС АПК;ФГБУ «АЦ Минсельхоза России»;115035, Российская Федерация, г. Москва, ул. Пятницкая, д. 14, стр. 10;https://www.mcxac.ru/upload/iblock/c7b/c7b23a7769771960e5c73856dfee94a1.rar;http://www.mcxac.ru/;pr.ac@mcxac.ru;+7 (495) 777-10-79
ALP-MARK;Автоматизированная система маркировки товаров.;ALP Group;123022, г. Москва, ул. 2-ая Звенигородская, д. 13, к.43;https://www.mcxac.ru/upload/iblock/9d9/9d98596fd3e06a37c66359202e875992.pdf;www.alp.ru;Julia.Nikulina@alp-erp.ru;+7(495)785-51-51 (#5168)
my-Beacon;Система контроля местоположения и эффективности персонала на основе технологии iBeacon.;"ООО ""Смарт-Ком""";194044, г. Санкт-Петербург, ул. Менделеевская, д. 2;https://www.mcxac.ru/upload/iblock/215/215ab6a036a8d5930dbbed7635f347d1.pdf;www.my-beacon.ru;mail@my-beacon.ru;+7(812)645-65-29
1Ф: Автоматизация;Автоматизированная система учета и регистрации личного подсобного хозяйства. Похозяйственная книга.;REGAGRO;143026,  г. Москва территория Инновационного центра «Сколково», ул.Нобеля, 7, 3/50/3;https://www.mcxac.ru/upload/iblock/7fa/7fa850d7f20609ec70bc521cbbabb807.pdf;www.regagro.ru;direct@regagro.ru;+7(985)001-98-85
AC «REGAGRO»;Автоматизированная система учета и регистрации сельскохозяйственных животных.;REGAGRO;143026,  г. Москва территория Инновационного центра «Сколково», ул.Нобеля, 7, 3/50/3;https://www.mcxac.ru/upload/iblock/2c9/2c980aceefa384080a7470be1ea82291.pdf;www.regagro.ru;direct@regagro.ru;+7(985)001-98-85
Цифровая модель управления персоналом;Решения для управления персоналом;Норбит;127083, г. Москва, ул. Юннатов, д. 18;https://www.mcxac.ru/upload/iblock/3df/3dfcacd2d24e6ac51800352a6fa67790.pdf;www.norbit.ru;info@norbit.ru;+7(495)787-29-92
ПРОСТОЕ РЕШЕНИЕ;Сервис стандартизированной отчетности, прогнозирования и моделирования, объединяющий системы управления предприятия.;"""Мустанг Технология Кормления""";117513, г. Москва, Ленинский проспект, д. 137. корп. 1;https://www.mcxac.ru/upload/iblock/f98/f9860036d5ffb2ed95c3a06156d94426.pdf;www.mustangtk.ru;mtk@mustangtk.ru;+7(495)931-91-90
Шлюзы безопасности ViPNet;Решения для защиты каналов связи.;ОАО «ИнфоТеКС»;127287, г. Москва, Старый Петровско-Разумовский пр-д, д. 1/23, стр. 1;https://www.mcxac.ru/upload/iblock/3b8/3b86bc1d30a203b706f399a2db052ca7.pdf;www.infotecs.ru;soft@infotecs.ru;+7(495)737-61-92
Система хранения данных архивной информации и безопасная облачная платформа файлового обмена на базе отечественных серверов Яхонт-УВМ и VALO Cloud;;НОРСИ-ТРАНС;127015, г. Москва, ул. Б. Новодмитровская, д. 12, стр. 15;https://www.mcxac.ruNone;norsi-trans.ru;info@norsi-trans.ru;+7(495)748-74-83
ГЭПС;Государственная электронная почтовая система;Почта России;131000, Москва, Варшавское шоссе, 37;https://www.mcxac.ruNone;https://www.pochta.ru;client@russianpost.ru;+7(495)956-20-67
Blockchain transparent tenders;Блокчейн-система для противодействия коррупции в сфере закупочной деятельности.;Waves Enterprise;109202, Москва, Берсеневская набережная, 6 стр.3;https://www.mcxac.ruNone;wavesenterprise.com/ru;sales@wavesenterprise.com;+7(499)112-44-33
E-finance;Блокчейн-платформа для новации обязательства в займ и динамического дисконтирования.;Waves Enterprise;109202, Москва, Берсеневская набережная, 6 стр.3;https://www.mcxac.ruNone;wavesenterprise.com/ru;sales@wavesenterprise.com;+7(499)112-44-33
«Сельская ипотека»;Система льготного ипотечного кредитования.;Waves Enterprise;109202, Москва, Берсеневская набережная, 6 стр.3;https://www.mcxac.ru/upload/iblock/24b/24be0ccdc3a6952491fe925ade98cd22.pdf;wavesenterprise.com/ru;sales@wavesenterprise.com;+7(499)112-44-33
Данные дистанционного зондирования;;Prime group;123298, г. Москва, 3-я Хорошевская ул. д.12;https://www.mcxac.ru/upload/iblock/799/799abdcf5d27c30ce8361f085ad9bd88.pdf;www.primegroup.ru;info@primegroup.ru;+7(499)579-77-01
Программно-аппаратный комплекс «РусГИС»;Цифровая трансформация сельского хозяйства, посредством внедрения цифровых технологий и платформенных решений.;Ростелеком;15172, Москва, ул. Гончарная, д. 30, стр 1;https://www.mcxac.ru/upload/iblock/20d/20dd62bfab86fe8086a80846aa55408f.pdf;moscow.rt.ru;rostelecom@rt.ru;+7(499)999-82-83
Защита от APT и реагирование на сложные угрозы (EDR и antiAPT);Сервисный подход к защите от целевых кибератак и сложных угроз.;Angara Professional Assistance;121096, г. Москва, ул. Василисы Кожиной, д.1, к.1, БЦ «Парк Победы»;https://www.mcxac.ruNone;www.angarapro.ru;info@angarapro.ru;+7(495)269-26-07
Корпоративные геоинформационные системы;;Prime group;123298, г. Москва, 3-я Хорошевская ул. д.12;https://www.mcxac.ru/upload/iblock/acb/acb6c821e2d76c3d5e4c2810dc3af233.pdf;www.primegroup.ru;info@primegroup.ru;+7 (499)579-77-01
LanDocs Express;Современный документооборот.;ГК «ЛАНИТ»;129075, г. Москва, Мурманский проезд, д. 14, к. 1;https://www.mcxac.ruNone;www.lanit.ru;lanit@lanit.ru;+7(495)967-66-50
Модернизация имеющейся ИТ-инфраструктуры в соответствии с инновационными техническими достижениями;;СТК Развитие;127055, г. Москва, ул. Сущёвская, д.27, стр.2, ЭТ/ПОМ/КОМ 3/III/4;https://www.mcxac.ruNone;stcd.ru;global@stcd.ru;+7(495)269-19-57
Контур.Меркурий;Комплексные решения для подготовки отчетности.;СКБ Контур;127018, Москва, ул. Сущевский Вал, 18, этаж 10;https://www.mcxac.ru/upload/iblock/386/386c5e8b932594b9faed8067ca9f96e9.pdf;kontur.ru;info@kontur.ru;8(800)500-50-80
Платформа CRM.КЛИК;Система для крупного производителя сельхоз продукции.;Решения КлиК;Москва, ул. Ибрагимова, д 35, стр. 2, пом.1;https://www.mcxac.ru/upload/iblock/7a7/7a7ea5466d61f4d4fe9e44c91cbd2e47.pdf;www.sysclick.ru;office@sysclick.ru;+7(499)500-96-25
Единый Фермерский портал как электронная торговая площадка;;CorpSoft24;123658, г. Москва, ул. Ленина, д.67;https://www.mcxac.ruNone;www.farms4.ru;it1@corpsoft24.ru;8(800)777-77-77
ТУРБО;Платформа для разработки бизнес приложений и сревисов различной сложности.;ГК «ЛАНИТ»;129075, г. Москва, Мурманский проезд, д. 14, к. 1;https://www.mcxac.ru/upload/iblock/807/8079836ae928d5ce72237a0a81175d1e.pdf;www.lanit.ru;lanit@lanit.ru;+7(495)967-66-50
VideoMost;Единая система для организации многоточечных Full HD видео конференций.;SPIRIT DSP;115114, г/ Москва, Дербеневский 1-й переулок 5, пом 602;https://www.mcxac.ruNone;www.videomost.com;info@videomost.com;+7(499)995-23-85
«КОМРАД»;Система централизованного управления событиями информационной безопасности.;НПО «ЭШЕЛОН»;107023, г. Москва, ул. Электрозаводская, д. 24;https://www.mcxac.ruNone;npo-echelon.ru;partners@npo-echelon.ru;+7(495)223-23-92
FIXAR;Комплексное решение для сельского хозяйства.;FIXAR;"192148, Санкт-Петербург, ул. Ольги Берггольц, д. 40, территория завода ""Патриот""";https://www.mcxac.ruNone;fixar.pro;info@fixar.pro;+7(812)677-14-35
Облачные решения CLOUD4Y;;Cloud4Y;125493, г. Москва, ул. Авангардная, д.3;https://www.mcxac.ruNone;www.cloud4y.ru;support_line50@cloud4y.ru;+7(495)268-04-12
Система видеоконференцсвязи TrueConf Server;;TrueConf;105094, г. Москва, ул. Семёновский Вал, д. 10А;https://www.mcxac.ru/upload/iblock/499/499183f6305668ba656fdb4fe76c85f2.pdf;trueconf.ru;info@trueconf.ru;: +7(495)698-60-66
Модернизация ЦОД (центр обработки данных) и создание платформы визуализации;;DEPO Computers;125222, Москва, Митино, ул. Зенитчиков, д. 12;https://www.mcxac.ru/upload/iblock/32a/32a69ca989074fef44f5aef16c13e329.pdf;www.depo.ru;dialog@depo.ru;+7(495)969-22-22
CarryMap;Создание интерактивных мобильных оффлайн карт из проектов в ArcGIS для широкого круга пользователей.;DATA EAST;630090, Новосибирск, Проспект Академика Лаврентьева 2/2;https://www.mcxac.ru/upload/iblock/d41/d418596c3a81670826eed038b8eec586.pdf;dataeast.com/ru/overview;support@dataeast.com;+7(383)332-03-20
Внедрение системы электронного документооборота на базе платформы управления документами и бизнес-процессами «Тесса» («Tessa»);;Syntellect;105318, Москва, ул. Вельяминовская, 34;https://www.mcxac.ruNone;www.syntellect.ru;nfo@syntellect.ru;+7(495)366-87-77
Zecurion DLP (Data Loss Prevention);Защита конфиденциальной коммерческой информации от утечек.;Zecurion;129164, г. Москва, Ракетный бульвар, 16;https://www.mcxac.ruNone;www.zecurion.ru;info@zecurion.com;+7(495)221-21-60
Размещение оборудования в дата-центре;;Linxdatacenter;127083, Россия, г. Москва, ул. 8 Марта, д. 14, БЦ «Кулон»;https://www.mcxac.ruNone;ru.linxdatacenter.com;info@linxdatacenter.com;+7(495)369-05-94
TDMS;Специализированное программное обеспечение, ориентированное для использования на предприятиях, ведущих проектную, конструкторскую и изыскательскую деятельность.;Нанософт;108811, г. Москва, Румянцево 22-й км Киевского ш., д. 4, стр. 1А, оф. 508А;https://www.mcxac.ruNone;www.nanocad.ru;nano@nanocad.ru;+7(495)645-86-26
nanoCAD Plus;Российская САПР-платформа, содержащая все необходимые инструменты базового проектирования.;Нанософт;108811, г. Москва, Румянцево 22-й км Киевского ш., д. 4, стр. 1А, оф. 508А;https://www.mcxac.ruNone;www.nanocad.ru;nano@nanocad.ru;+7(495)645-86-26
Пакет офисного ПО;;МойОфис;125009, Москва, Большой Гнездниковский переулок, д. 1, строение 2;https://www.mcxac.ruNone;myoffice.ru;contact@ncloudtech.ru;8(800)222-18-88
Инженерное программное обеспечение APM;;Научно-технический центр «АПМ»;141070, Московская область, г. Королев, Октябрьский бульвар, д. 14, офис №6;https://www.mcxac.ruNone;apm.ru;com@apm.ru;+7(495)120-58-10
